repository	instance	cutoff	head	branch	snapshot	files	source_bytes	prediction	history_commits	future_commits	tasks	last_future	projection_sha256	projection_seconds
mrdoob/three.js	mrdoob__three.js-26589	8d9f8d50b923d5f8a673590ae138bc5d86a3a256	43feb74125410057b3a5ca63407121d7073a9f21	dev	/nix/store/q0gs0gv74fk3pviwfvvldwv7qv1r4fgh-source	1316	18676730	available	6337	100	541	8fea5d243b256dd7c786149bef3977f363f808e7	efe2a5c44ad2db10149f37d15daa7dfc5c29fbb0cab18326ea5b26e65da5a30a	3.722149
preactjs/preact	preactjs__preact-2757	b17a932342bfdeeaf1dc0fbe4f436c83e258d6c8	8101ff821690817c7786739c317af215c62a0cff	main	/nix/store/dsw6bgb3qb7m1xvh3xrn325lfbfdfbp2-source	210	939901	available	659	100	291	7b5b240f0c3697d95c64bcd43fe87139d3983d4f	92ac38ad62d9675834138aa188a6967fe5e484e52ba6aeb167464ced645bf217	0.927873
vuejs/core	vuejs__core-11589	3653bc0f45d6fedf84e29b64ca52584359c383c0	4ab865a848a1da3d10fb674f857e5fff13094644	main	/nix/store/a96wb59vjms2wx87nwq2z4wix3km9vms-source	516	3842969	available	2326	100	315	57315ab9688c9741a271d1075bbd28cbe5f71e2f	7dd195125b9cb81265eadbf480aa55ae98ae062f7d91410f01beec1838e693d4	0.652623
facebook/docusaurus	facebook__docusaurus-9897	0589b1475d56b0b541348aa56f201ec7c56c56d5	714d743f9c461839b7e7d6101e2b65ac43a37956	main	/nix/store/2nzrwsazhgnqk7jdw9w1j2ipgf8fsiks-source	956	4941744	available	965	100	767	97690abc9422307f9ca52267391d4f8d62752e79	53114d5e1761951a8c4d2e0a1dcbf805fa6dc65fadfc74f2ad1ab0a139b0cb40	1.371900
babel/babel	babel__babel-13928	5134505bf93013c5fa7df66704df8d04becb7f7d	fd665901dece022a0eda2ae7adda03bc9baabd5e	main	/nix/store/0kr18fc2n5qlj28rsk5mr3apzdcqhh0r-source	9979	9573081	available	1180	100	671	e57d081e275808ed7129b2d028b415dc6f37d362	6bebe5d5392e1605cbb825163117e4310a255810211c40501a90191ffe998061	6.295643
NodeBB/NodeBB	NodeBB__NodeBB-05f2236193f407cf8e2072757fbd6bb170bc13f0-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	05f2236193f407cf8e2072757fbd6bb170bc13f0	99397176d643d16d2e3134618ae53a2095773284	master	/nix/store/12jfm5bzf66ljp2w06w6vda4ari23c99-source	723	3066792	available	3868	100	425	d1ff3d6298710041f49397d4e2dcccbd929f8b63	16a74b156ee7a480ba6bd6d51bbd369a1f4964b556233e6e5c2e2fbd91e0a111	2.823747
element-hq/element-web	element-hq__element-web-33e8edb3d508d6eefb354819ca693b7accc695e7	33e8edb3d508d6eefb354819ca693b7accc695e7	359a8b7345f8e5d00959f689972486c285a8eab4	develop	/nix/store/5abhgwp6p8dvp7b6niq275c745z5dsmi-source	831	5442753	available	1844	100	492	f3a880f1c31388eb79491fee7f70bde642fd5bf0	03fe1f0e9de924b5b972f802a19ff3d080ed57e20ad45abf99311e8241f52336	2.675115
tutao/tutanota	tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf	1e516e989b3c0221f4af6b297d9c0e4c43e4adc3	e274b36407fbb9cacd158c01e854f9a3bf87f020	master	/nix/store/ff8r930b0f98q1frykl7ms2jcnvqj0q4-source	1023	13386305	available	500	100	626	9b5ca574c70385bd051357b26a498f2d819936ea	f5d035d87393059a3262d388739098f6e124bd030da93345969fcb4c818559e6	1.960052
protonmail/webclients	protonmail__webclients-09fcf0dbdb87fa4f4a27700800ee4a3caed8b413	09fcf0dbdb87fa4f4a27700800ee4a3caed8b413	01b519cd49e6a24d9a05d2eb97f54e420740072e	materialized-successor	/nix/store/sjki842fs7h5kzgkx0fc2fn0qg50d53h-source	4048	15081473	available-with-head-deviation	3574	1	3	01b519cd49e6a24d9a05d2eb97f54e420740072e	8d0b22ca503c940dcad0fb2ccba746194ab487d609b8513d989cb758d6eb9683	3.848517
immutable-js/immutable-js	immutable-js__immutable-js-2006	493afba6ec17d9c999dc5a15ac80c71c6bdba1c3	686b8baf1dc825419f5ded2968b48e3432644aff	main	/nix/store/fpqr6ffwj4fa2r6rx7qdbzni9b7gim72-source	195	811028	available	359	10	42	0791295f4c5f2ebd0956446c5009a4f0955638ce	3163fe671b40d5091192d822353a18b5d2ea617053a659b797ee2ba3c6872b52	0.653625
axios/axios	axios__axios-4731	c30252f685e8f4326722de84923fcbc8cf557f06	56a5f1acdc41965f464eb59bec6cc828113ba546	v1.x	/nix/store/2lrvyhagkbmid94r6186m7p9s9qhk5p8-source	114	404093	available	283	100	316	6700a8adac06942205f6a7a21421ecb36c4e0852	19e2c1977a32717462e2a7185c7c48925d184cb2027569549df702dd30e781b3	0.118819
